age,hours_per_week,workclass,education,marital_status,occupation,race,gender,income
49,40,Self-Employed,School,Married,Blue-Collar,White,Male,0
50,15,Private,Some-college,Divorced,Service,White,Female,0
35,40,Private,Assoc,Divorced,White-Collar,White,Female,0
66,35,Government,HS-grad,Widowed,White-Collar,White,Female,1
51,50,Private,Bachelors,Divorced,White-Collar,Other,Male,0
64,50,Private,Bachelors,Divorced,White-Collar,White,Female,0
20,30,Private,Some-college,Single,White-Collar,White,Female,0
50,50,Private,Bachelors,Married,White-Collar,White,Male,1
23,60,Private,Some-college,Single,White-Collar,White,Female,0
41,40,Private,HS-grad,Married,Blue-Collar,White,Male,0
35,35,Private,HS-grad,Married,Blue-Collar,White,Male,0
29,38,Private,HS-grad,Married,Blue-Collar,White,Female,0
45,45,Private,Some-college,Married,Sales,White,Male,0
47,40,Private,Prof-school,Married,White-Collar,White,Male,1
30,41,Private,HS-grad,Single,White-Collar,White,Male,0
39,40,Government,HS-grad,Married,White-Collar,Other,Male,0
52,40,Self-Employed,HS-grad,Married,Blue-Collar,Other,Male,0
23,40,Government,Bachelors,Single,Professional,White,Female,0
49,40,Private,HS-grad,Married,Service,White,Male,1
28,40,Private,Some-college,Single,Blue-Collar,Other,Male,0
57,28,Private,HS-grad,Divorced,Sales,White,Female,0
23,35,Private,Some-college,Single,White-Collar,White,Female,0
28,40,Self-Employed,Some-college,Single,Professional,White,Male,0
32,40,Private,Bachelors,Married,White-Collar,White,Male,0
30,50,Private,Bachelors,Married,Professional,White,Female,1
65,80,Other/Unknown,Prof-school,Single,Other/Unknown,White,Male,1
43,60,Self-Employed,Bachelors,Married,Sales,White,Male,1
30,38,Private,HS-grad,Single,White-Collar,White,Male,0
40,45,Private,Doctorate,Married,Professional,White,Male,0
33,40,Private,HS-grad,Married,Blue-Collar,White,Male,0
33,40,Government,HS-grad,Single,Service,Other,Male,0
17,20,Private,School,Single,Sales,White,Female,0
22,35,Private,Some-college,Single,Professional,White,Female,0
18,40,Private,Some-college,Single,White-Collar,White,Male,0
42,40,Private,Some-college,Separated,White-Collar,White,Female,0
49,60,Private,Some-college,Separated,White-Collar,Other,Female,0
23,40,Private,Some-college,Married,Blue-Collar,White,Male,0
21,35,Private,Some-college,Single,Sales,White,Female,0
38,40,Private,Bachelors,Married,Professional,White,Female,1
72,2,Other/Unknown,HS-grad,Married,Other/Unknown,White,Female,0
37,90,Private,Bachelors,Single,Blue-Collar,White,Male,1
28,43,Private,Bachelors,Single,Service,White,Male,0
57,50,Self-Employed,HS-grad,Married,White-Collar,White,Male,0
36,40,Private,Some-college,Divorced,Blue-Collar,White,Male,0
39,55,Government,Masters,Single,Professional,White,Female,0
19,40,Private,Some-college,Single,White-Collar,White,Male,0
42,90,Government,HS-grad,Married,Service,White,Male,0
50,40,Private,School,Married,Blue-Collar,White,Male,1
35,60,Private,HS-grad,Married,Blue-Collar,White,Male,1
46,40,Government,Some-college,Divorced,Blue-Collar,White,Female,0
37,40,Private,HS-grad,Married,White-Collar,White,Female,1
17,20,Private,School,Single,Sales,White,Female,0
60,40,Private,HS-grad,Widowed,Blue-Collar,White,Female,0
39,40,Private,Some-college,Married,White-Collar,Other,Female,0
37,45,Self-Employed,Doctorate,Single,Professional,White,Male,1
65,35,Self-Employed,Some-college,Widowed,Blue-Collar,White,Female,0
58,40,Private,HS-grad,Divorced,White-Collar,White,Female,0
60,40,Private,Some-college,Single,Professional,White,Male,1
23,25,Private,Some-college,Single,Service,White,Male,0
39,35,Private,Bachelors,Single,White-Collar,Other,Female,0
62,40,Self-Employed,School,Married,Blue-Collar,White,Male,1
58,40,Private,HS-grad,Married,Blue-Collar,White,Male,0
30,35,Private,School,Separated,Blue-Collar,White,Male,0
32,30,Private,School,Married,Blue-Collar,White,Male,0
18,20,Private,HS-grad,Single,Service,Other,Female,0
28,40,Private,Some-college,Married,Blue-Collar,White,Male,1
39,40,Private,Bachelors,Single,Professional,White,Male,1
53,50,Private,Masters,Married,White-Collar,White,Male,1
32,40,Government,Assoc,Divorced,Service,White,Male,0
52,40,Private,Some-college,Widowed,Service,Other,Female,0
61,35,Self-Employed,HS-grad,Married,White-Collar,White,Male,1
56,45,Private,HS-grad,Married,Blue-Collar,Other,Male,0
39,40,Private,Bachelors,Married,White-Collar,White,Male,1
58,40,Private,Assoc,Married,Blue-Collar,Other,Male,1
48,32,Other/Unknown,HS-grad,Married,Other/Unknown,White,Female,0
76,8,Other/Unknown,Some-college,Married,Other/Unknown,White,Male,0
41,40,Government,Assoc,Divorced,Professional,White,Female,0
30,45,Private,Some-college,Married,Service,White,Male,0
55,40,Private,HS-grad,Married,Professional,White,Male,1
45,40,Private,Bachelors,Married,Professional,White,Male,1
28,50,Private,School,Married,Blue-Collar,White,Male,0
19,20,Private,HS-grad,Single,White-Collar,White,Female,0
24,30,Private,Bachelors,Single,Service,White,Female,0
26,40,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,0
28,55,Private,Bachelors,Single,Professional,White,Male,1
47,40,Private,HS-grad,Divorced,Service,White,Female,0
60,50,Self-Employed,Some-college,Married,White-Collar,White,Male,0
23,6,Private,Some-college,Single,Service,White,Female,0
20,40,Private,Some-college,Single,Sales,White,Female,0
43,21,Private,HS-grad,Married,Blue-Collar,Other,Female,0
32,40,Private,Bachelors,Single,Professional,White,Female,0
37,43,Government,Some-college,Married,Blue-Collar,White,Male,0
35,50,Private,Bachelors,Married,White-Collar,White,Male,1
28,40,Private,Bachelors,Single,Blue-Collar,Other,Male,0
21,25,Private,Some-college,Single,White-Collar,White,Female,0
52,45,Private,Some-college,Married,Professional,White,Male,1
63,40,Private,School,Separated,Blue-Collar,Other,Male,0
50,40,Private,Masters,Divorced,Sales,White,Female,1
52,45,Private,Assoc,Married,White-Collar,White,Male,1
22,20,Private,Some-college,Single,Blue-Collar,White,Male,0
29,54,Private,Some-college,Divorced,Sales,White,Female,0
26,65,Private,Some-college,Married,Blue-Collar,Other,Male,0
35,50,Private,Assoc,Married,Blue-Collar,White,Male,0
21,40,Private,Some-college,Single,Service,White,Female,0
64,25,Government,Masters,Married,Professional,White,Male,0
64,45,Self-Employed,HS-grad,Married,White-Collar,White,Male,1
32,40,Self-Employed,Bachelors,Married,Professional,White,Male,1
31,35,Private,Some-college,Divorced,Sales,White,Female,0
42,40,Self-Employed,Assoc,Married,Professional,White,Male,0
29,40,Private,HS-grad,Single,Blue-Collar,Other,Male,0
37,60,Private,Bachelors,Married,White-Collar,White,Male,1
59,40,Private,Some-college,Married,White-Collar,White,Male,1
31,40,Private,Some-college,Single,Service,White,Female,0
29,40,Other/Unknown,Some-college,Divorced,Other/Unknown,White,Female,0
19,40,Private,School,Single,Service,Other,Male,0
23,40,Government,Bachelors,Single,Professional,White,Male,0
54,40,Private,HS-grad,Married,Blue-Collar,Other,Male,0
43,40,Private,HS-grad,Single,White-Collar,White,Female,0
39,40,Private,Some-college,Married,Blue-Collar,White,Male,0
36,35,Government,Some-college,Married,White-Collar,White,Male,0
31,40,Private,HS-grad,Divorced,Blue-Collar,White,Male,0
28,50,Private,Some-college,Married,White-Collar,White,Male,1
37,40,Private,Some-college,Married,Blue-Collar,White,Male,0
38,50,Private,Some-college,Married,White-Collar,White,Male,0
24,40,Private,HS-grad,Married,White-Collar,Other,Female,0
19,16,Private,School,Single,Blue-Collar,White,Male,0
32,50,Private,Bachelors,Married,White-Collar,White,Male,1
27,80,Private,Bachelors,Single,Sales,White,Male,1
56,35,Private,School,Married,Service,White,Male,1
37,40,Private,Bachelors,Married,Service,White,Male,1
24,40,Private,Bachelors,Single,White-Collar,White,Female,0
41,43,Private,Assoc,Divorced,Professional,White,Female,0
49,56,Self-Employed,Some-college,Married,Blue-Collar,Other,Male,1
29,45,Private,Some-college,Single,White-Collar,White,Male,0
81,15,Private,School,Married,Professional,White,Male,0
49,40,Private,Some-college,Divorced,White-Collar,Other,Female,0
24,40,Private,Assoc,Single,Service,White,Male,0
46,40,Government,Bachelors,Divorced,Professional,White,Female,0
39,50,Private,Some-college,Married,Blue-Collar,White,Male,0
35,38,Other/Unknown,HS-grad,Widowed,Other/Unknown,White,Female,0
26,25,Private,School,Married,Service,White,Male,0
40,40,Private,Bachelors,Married,Blue-Collar,White,Male,0
42,47,Private,HS-grad,Divorced,Sales,White,Male,0
54,40,Private,HS-grad,Married,Blue-Collar,White,Male,0
19,33,Private,School,Single,Service,White,Male,0
41,50,Private,HS-grad,Married,Blue-Collar,Other,Male,0
46,48,Private,Some-college,Married,White-Collar,White,Male,1
27,40,Private,School,Married,Blue-Collar,White,Male,0
34,25,Self-Employed,Assoc,Married,Professional,White,Female,1
71,10,Private,School,Widowed,Blue-Collar,White,Male,0
26,40,Private,HS-grad,Single,Blue-Collar,White,Male,0
62,40,Government,HS-grad,Widowed,Service,White,Female,0
18,15,Private,Some-college,Single,White-Collar,White,Female,0
60,40,Self-Employed,School,Married,Blue-Collar,White,Male,0
34,50,Private,Assoc,Divorced,Blue-Collar,White,Male,0
29,42,Private,Bachelors,Married,Service,White,Male,1
38,40,Government,Masters,Married,Professional,White,Male,1
47,40,Government,Assoc,Married,White-Collar,White,Male,1
58,40,Private,Some-college,Married,Sales,Other,Male,0
31,16,Private,Some-college,Single,Service,White,Male,0
17,20,Private,School,Single,Blue-Collar,Other,Male,0
29,50,Private,HS-grad,Single,Blue-Collar,White,Male,0
27,40,Private,Bachelors,Married,Professional,White,Female,1
24,50,Government,Some-college,Single,Service,White,Male,1
70,20,Private,HS-grad,Married,Professional,White,Male,0
25,40,Private,Bachelors,Married,Professional,White,Male,0
60,55,Private,Some-college,Married,Sales,White,Male,0
19,55,Self-Employed,School,Married,Blue-Collar,White,Male,0
21,48,Private,Some-college,Single,White-Collar,Other,Male,0
19,10,Private,Some-college,Single,White-Collar,White,Female,0
71,40,Other/Unknown,Assoc,Widowed,Other/Unknown,White,Female,0
46,40,Government,School,Single,Service,Other,Female,0
63,40,Other/Unknown,School,Married,Other/Unknown,White,Male,1
31,40,Private,Bachelors,Single,Professional,White,Male,0
45,40,Private,HS-grad,Married,Service,White,Male,1
21,30,Private,HS-grad,Single,Blue-Collar,White,Male,0
39,50,Private,Bachelors,Widowed,Professional,White,Female,1
24,40,Private,HS-grad,Single,White-Collar,White,Female,0
23,24,Private,Bachelors,Single,White-Collar,Other,Male,0
59,40,Private,HS-grad,Separated,Sales,Other,Female,0
21,35,Private,Some-college,Single,White-Collar,White,Male,0
58,50,Private,School,Separated,Blue-Collar,Other,Male,0
38,70,Private,Bachelors,Married,Professional,White,Male,1
34,30,Private,HS-grad,Single,Service,Other,Male,0
48,50,Private,HS-grad,Married,White-Collar,White,Male,0
32,38,Government,Some-college,Divorced,Service,White,Female,0
36,40,Private,Assoc,Single,Service,White,Female,0
18,20,Private,HS-grad,Single,White-Collar,White,Male,0
59,40,Private,HS-grad,Divorced,Service,White,Female,0
27,40,Private,School,Married,Blue-Collar,White,Male,0
38,45,Private,Bachelors,Single,Service,White,Female,0
49,25,Private,Bachelors,Single,Service,White,Male,0
25,30,Private,HS-grad,Married,Blue-Collar,Other,Male,0
25,40,Private,HS-grad,Single,Service,Other,Male,0
37,35,Private,School,Divorced,Blue-Collar,White,Male,0
53,40,Private,HS-grad,Married,Blue-Collar,White,Male,0
34,40,Private,Assoc,Single,Blue-Collar,Other,Female,0
55,40,Private,HS-grad,Divorced,Blue-Collar,White,Female,0
43,60,Private,Bachelors,Married,White-Collar,White,Male,1
38,45,Government,Doctorate,Married,Professional,White,Male,1
25,35,Private,HS-grad,Single,Blue-Collar,White,Male,0
35,40,Government,Some-college,Single,Service,Other,Female,0
41,40,Private,HS-grad,Married,Blue-Collar,White,Male,0
33,40,Private,HS-grad,Married,Blue-Collar,White,Male,0
48,50,Government,Prof-school,Married,Professional,White,Male,1
46,60,Private,Some-college,Married,Sales,Other,Male,1
71,40,Other/Unknown,HS-grad,Widowed,Other/Unknown,White,Female,0
34,40,Private,HS-grad,Married,Blue-Collar,White,Male,0
38,60,Self-Employed,Assoc,Married,Sales,White,Male,0
31,40,Private,Assoc,Single,Professional,Other,Male,0
36,40,Private,HS-grad,Married,Blue-Collar,White,Male,1
41,48,Private,HS-grad,Married,Blue-Collar,White,Male,0
24,40,Private,Masters,Single,Professional,White,Female,0
44,35,Government,Masters,Married,Professional,White,Male,0
29,40,Self-Employed,HS-grad,Single,Sales,White,Male,0
19,35,Private,HS-grad,Single,Sales,White,Male,0
59,40,Government,Masters,Divorced,Professional,White,Male,1
45,40,Government,Bachelors,Separated,Professional,White,Female,0
40,40,Private,School,Single,Blue-Collar,Other,Female,0
54,50,Government,Doctorate,Single,White-Collar,White,Female,1
38,40,Private,Some-college,Married,White-Collar,White,Male,1
37,50,Private,Bachelors,Married,White-Collar,White,Male,1
37,50,Private,HS-grad,Married,Blue-Collar,White,Male,1
48,42,Private,HS-grad,Married,Blue-Collar,White,Male,1
37,40,Private,Bachelors,Married,Sales,White,Male,1
47,38,Private,School,Divorced,Service,White,Female,0
44,80,Private,School,Married,Blue-Collar,White,Male,1
61,40,Private,School,Married,Blue-Collar,White,Male,0
37,40,Private,HS-grad,Married,Blue-Collar,Other,Male,0
37,37,Private,Bachelors,Married,White-Collar,White,Female,1
18,30,Private,School,Single,Blue-Collar,White,Male,0
20,40,Private,Some-college,Single,Blue-Collar,White,Male,0
81,5,Private,School,Widowed,Service,Other,Female,0
52,50,Private,Assoc,Single,Blue-Collar,White,Male,0
25,50,Private,Assoc,Single,Professional,White,Male,1
35,45,Private,Masters,Single,Professional,White,Male,1
47,40,Private,Assoc,Single,White-Collar,White,Female,0
25,24,Private,Some-college,Single,Service,White,Female,0
41,50,Private,Doctorate,Divorced,Sales,White,Female,1
49,60,Private,Assoc,Married,Professional,White,Female,1
65,60,Private,Assoc,Married,Blue-Collar,White,Male,0
47,40,Self-Employed,Some-college,Married,Blue-Collar,White,Male,1
42,50,Private,HS-grad,Married,Sales,White,Male,0
24,32,Private,Bachelors,Single,Service,Other,Male,0
42,45,Government,Bachelors,Married,Professional,White,Female,1
52,40,Private,School,Separated,Blue-Collar,White,Female,0
24,20,Private,HS-grad,Single,Sales,Other,Female,0
44,55,Government,Masters,Single,Professional,White,Female,0
50,40,Private,Bachelors,Married,White-Collar,Other,Male,1
49,40,Private,HS-grad,Divorced,Service,White,Female,0
48,40,Private,Assoc,Divorced,White-Collar,White,Female,0
33,40,Private,HS-grad,Divorced,Service,White,Female,0
48,40,Government,Masters,Married,Professional,White,Male,1
28,25,Government,HS-grad,Separated,Blue-Collar,White,Female,0
42,50,Private,Masters,Single,White-Collar,White,Female,1
17,10,Private,School,Single,White-Collar,White,Female,0
46,40,Private,School,Married,Blue-Collar,White,Female,0
35,40,Private,School,Separated,Blue-Collar,Other,Male,0
34,45,Private,HS-grad,Married,Sales,White,Male,1
25,35,Private,Bachelors,Single,White-Collar,White,Male,0
47,40,Government,Some-college,Divorced,White-Collar,White,Female,0
68,32,Other/Unknown,HS-grad,Widowed,Other/Unknown,White,Male,0
26,40,Government,HS-grad,Married,Service,White,Male,1
26,40,Private,Bachelors,Single,Professional,White,Male,0
44,40,Government,School,Married,Blue-Collar,White,Male,0
47,40,Private,Assoc,Married,Professional,White,Male,1
47,40,Private,Prof-school,Divorced,White-Collar,White,Male,0
41,54,Self-Employed,Some-college,Married,Blue-Collar,White,Male,1
41,12,Private,Bachelors,Married,Sales,White,Female,1
49,50,Private,Masters,Married,Professional,White,Male,1
45,40,Private,Assoc,Widowed,White-Collar,Other,Female,0
28,50,Private,Bachelors,Married,Service,White,Male,0
40,50,Private,HS-grad,Married,Blue-Collar,White,Male,0
25,80,Self-Employed,Bachelors,Single,Sales,White,Male,0
29,72,Private,Bachelors,Single,Professional,White,Female,0
31,40,Private,Some-college,Single,White-Collar,White,Male,0
22,55,Private,HS-grad,Single,Blue-Collar,White,Male,0
40,40,Government,HS-grad,Married,Blue-Collar,White,Male,0
55,40,Private,HS-grad,Separated,White-Collar,White,Female,0
31,40,Private,Bachelors,Married,Professional,White,Male,1
24,40,Private,HS-grad,Single,Blue-Collar,White,Male,0
32,62,Private,Assoc,Married,Blue-Collar,White,Male,0
21,40,Private,Some-college,Single,Blue-Collar,White,Female,0
41,35,Self-Employed,Bachelors,Married,White-Collar,White,Male,1
41,40,Private,Masters,Divorced,White-Collar,White,Female,0
22,40,Private,HS-grad,Single,Service,White,Male,0
47,40,Private,HS-grad,Divorced,White-Collar,White,Female,0
62,45,Private,Assoc,Married,White-Collar,White,Female,1
44,40,Private,Assoc,Married,Professional,White,Male,1
39,60,Government,Bachelors,Divorced,Professional,White,Female,0
25,84,Private,HS-grad,Married,White-Collar,White,Male,1
57,40,Private,Prof-school,Single,Professional,White,Female,0
49,50,Government,Bachelors,Single,Professional,White,Female,0
33,40,Private,Some-college,Single,Sales,White,Male,0
61,44,Self-Employed,HS-grad,Single,Sales,White,Female,0
52,40,Private,Some-college,Married,Service,Other,Male,1
57,40,Private,School,Married,Service,White,Male,0
26,40,Private,HS-grad,Single,Service,White,Male,0
35,50,Private,Some-college,Married,Blue-Collar,Other,Male,1
18,40,Private,School,Single,Blue-Collar,White,Male,0
60,40,Private,School,Widowed,Sales,White,Female,0
34,50,Private,Prof-school,Married,Professional,White,Male,1
32,38,Private,Bachelors,Single,Professional,White,Male,0
34,50,Self-Employed,HS-grad,Separated,White-Collar,White,Male,0
62,45,Private,Masters,Divorced,Professional,White,Female,0
23,45,Private,Some-college,Single,Sales,White,Male,0
22,40,Private,HS-grad,Single,Blue-Collar,White,Male,0
31,43,Private,Bachelors,Married,Professional,White,Female,1
47,67,Self-Employed,Assoc,Widowed,White-Collar,White,Female,0
49,38,Private,Assoc,Divorced,Professional,White,Female,0
42,40,Private,Masters,Married,Professional,White,Male,1
42,55,Self-Employed,Some-college,Married,White-Collar,White,Male,1
28,43,Other/Unknown,Bachelors,Single,Other/Unknown,White,Female,0
22,40,Private,HS-grad,Single,Blue-Collar,White,Male,0
30,40,Government,Some-college,Single,White-Collar,Other,Female,0
39,40,Government,Some-college,Married,White-Collar,White,Male,0
49,42,Private,HS-grad,Married,Blue-Collar,White,Male,1
50,40,Private,HS-grad,Married,Blue-Collar,White,Male,0
32,60,Private,Bachelors,Married,Sales,White,Male,1
37,50,Self-Employed,Masters,Married,White-Collar,White,Male,1
45,45,Private,Masters,Divorced,Professional,White,Male,0
60,40,Other/Unknown,Bachelors,Married,Other/Unknown,White,Male,0
57,55,Government,Prof-school,Divorced,White-Collar,Other,Male,1
36,40,Private,School,Married,Blue-Collar,White,Male,0
25,40,Private,Bachelors,Single,White-Collar,White,Female,0
32,45,Private,HS-grad,Separated,Sales,White,Female,0
21,55,Other/Unknown,Assoc,Single,Other/Unknown,White,Male,0
32,40,Private,Some-college,Married,Blue-Collar,White,Male,0
30,40,Self-Employed,Bachelors,Single,Sales,White,Male,0
57,40,Private,Bachelors,Married,White-Collar,Other,Male,1
42,40,Government,HS-grad,Married,Blue-Collar,White,Male,1
30,35,Private,HS-grad,Married,Sales,Other,Female,0
32,40,Government,Bachelors,Married,Professional,Other,Male,0
23,25,Private,Some-college,Single,Service,White,Female,0
18,48,Other/Unknown,School,Single,Other/Unknown,Other,Male,0
36,50,Private,Masters,Married,Professional,White,Female,1
57,48,Government,Bachelors,Married,Service,White,Male,1
18,20,Private,School,Single,White-Collar,White,Female,0
58,40,Private,Bachelors,Divorced,Sales,White,Male,0
19,35,Private,HS-grad,Single,Blue-Collar,White,Male,0
27,40,Government,HS-grad,Single,Blue-Collar,White,Male,0
25,50,Private,HS-grad,Single,Blue-Collar,White,Male,0
33,40,Private,Assoc,Married,Professional,White,Female,0
25,40,Private,HS-grad,Single,White-Collar,Other,Female,0
35,40,Private,Bachelors,Married,Service,White,Male,0
45,50,Self-Employed,Some-college,Single,Blue-Collar,White,Male,0
26,40,Government,School,Married,Service,White,Male,0
59,40,Private,Doctorate,Married,White-Collar,White,Male,1
20,30,Private,HS-grad,Single,Sales,White,Female,0
33,40,Private,HS-grad,Married,Blue-Collar,White,Male,0
55,40,Private,Some-college,Divorced,Service,White,Male,0
45,40,Government,HS-grad,Married,White-Collar,White,Female,0
46,40,Government,Some-college,Married,Service,White,Male,0
46,40,Private,School,Separated,Blue-Collar,White,Female,0
40,40,Private,Assoc,Married,Blue-Collar,White,Male,0
38,60,Government,Bachelors,Married,Service,White,Male,0
28,40,Private,HS-grad,Single,Service,Other,Male,0
25,40,Private,HS-grad,Separated,Service,Other,Male,0
44,35,Private,HS-grad,Married,Sales,White,Male,1
39,40,Private,School,Married,Blue-Collar,Other,Female,0
31,45,Private,HS-grad,Married,Blue-Collar,White,Male,0
26,40,Private,HS-grad,Single,Blue-Collar,White,Male,0
26,20,Private,Bachelors,Single,Blue-Collar,White,Male,0
20,25,Government,Some-college,Single,White-Collar,White,Female,0
45,40,Private,Doctorate,Widowed,Professional,White,Male,1
31,40,Private,Prof-school,Married,Service,Other,Male,0
19,35,Private,HS-grad,Single,Blue-Collar,White,Male,0
29,35,Private,HS-grad,Single,Blue-Collar,White,Male,0
40,40,Private,School,Married,Blue-Collar,Other,Male,0
20,25,Private,Some-college,Single,Service,White,Female,0
53,40,Private,HS-grad,Married,Blue-Collar,White,Male,1
55,55,Private,HS-grad,Married,White-Collar,Other,Male,0
47,40,Private,HS-grad,Divorced,Service,White,Female,0
30,40,Private,Some-college,Single,Service,Other,Male,0
24,40,Private,HS-grad,Divorced,White-Collar,White,Female,0
45,40,Government,Assoc,Single,White-Collar,White,Male,0
33,40,Private,Masters,Single,White-Collar,White,Male,1
17,20,Other/Unknown,School,Single,Other/Unknown,White,Female,0
40,40,Private,HS-grad,Married,Blue-Collar,White,Male,1
32,34,Private,HS-grad,Single,Service,White,Female,0
50,50,Private,Masters,Married,White-Collar,White,Male,1
37,35,Private,HS-grad,Single,Service,White,Female,1
60,40,Private,Some-college,Married,Blue-Collar,White,Male,1
45,40,Private,HS-grad,Married,White-Collar,Other,Male,1
41,50,Private,School,Married,Blue-Collar,White,Male,1
22,35,Private,Some-college,Single,Blue-Collar,White,Female,0
38,20,Private,HS-grad,Divorced,Service,White,Female,0
34,40,Private,HS-grad,Married,White-Collar,Other,Male,0
59,34,Private,Some-college,Single,White-Collar,White,Female,0
36,70,Private,HS-grad,Single,White-Collar,White,Male,0
32,40,Private,School,Divorced,Blue-Collar,White,Male,0
30,40,Government,HS-grad,Married,Service,White,Male,0
65,75,Other/Unknown,HS-grad,Widowed,Other/Unknown,White,Female,0
19,40,Private,School,Single,Blue-Collar,White,Female,0
31,18,Private,HS-grad,Married,Sales,White,Female,0
36,45,Private,Assoc,Single,Professional,White,Male,0
50,40,Private,Masters,Married,White-Collar,Other,Male,1
36,65,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,1
41,45,Self-Employed,HS-grad,Married,White-Collar,White,Male,0
