G2,G1,failures,higher,age,school,goout,Mjob,Fjob,health,freetime,absences,Walc,famrel,Medu,Fedu,G3
C,C,0,yes,16,GP,3,other,teacher,5,4,4,1,2,4,4,C
C,D,0,yes,15,GP,2,services,health,5,3,2,1,4,3,4,C
C,B,0,yes,15,GP,1,at_home,other,2,3,8,1,4,2,2,C
D,D,0,yes,16,GP,3,other,other,3,3,16,2,3,2,2,D
D,D,0,yes,15,GP,3,teacher,other,5,4,8,4,5,4,4,D
B,B,0,yes,15,GP,3,services,teacher,5,3,0,1,4,4,4,B
D,F,0,yes,15,GP,1,services,services,1,4,0,1,5,2,2,D
D,D,1,yes,16,GP,3,other,at_home,5,3,14,2,4,2,2,D
D,D,0,yes,15,GP,2,other,other,5,2,4,1,5,4,3,D
C,C,0,yes,16,GP,5,other,services,3,3,6,4,2,3,3,C
A,A,0,yes,16,GP,2,health,services,2,2,2,1,4,4,3,A
C,D,0,yes,15,GP,3,teacher,other,5,3,4,2,4,4,2,C
C,C,0,yes,15,GP,4,services,teacher,3,4,2,1,4,4,4,C
C,B,0,yes,16,GP,3,services,services,4,3,0,3,4,2,2,C
B,A,0,yes,15,GP,3,health,other,5,3,0,1,4,4,2,A
F,D,0,yes,15,GP,5,health,health,5,5,4,4,5,4,2,F
C,C,0,yes,15,GP,4,services,services,5,3,0,3,3,4,4,C
C,C,0,yes,15,GP,4,other,other,1,3,0,4,5,3,3,C
C,C,0,yes,16,GP,4,other,other,2,3,2,1,5,2,1,C
B,B,0,yes,15,GP,2,services,services,1,3,0,1,4,4,3,B
B,B,0,yes,15,GP,2,teacher,health,5,2,8,1,3,4,4,A
C,B,0,yes,15,GP,2,other,at_home,5,3,0,1,4,1,2,B
B,A,0,yes,16,GP,3,services,other,5,2,2,1,4,4,2,A
A,A,0,yes,16,GP,4,health,teacher,4,4,0,3,2,4,4,A
D,D,0,yes,16,GP,5,services,services,5,5,0,5,5,1,1,A
C,C,0,yes,16,GP,3,other,services,1,4,0,1,4,1,2,D
C,B,0,yes,16,GP,4,teacher,health,4,4,0,4,3,4,3,C
C,C,0,yes,15,GP,4,services,services,2,4,0,4,4,4,3,C
B,A,0,yes,16,GP,3,teacher,services,1,4,2,2,5,4,3,A
C,D,0,yes,15,GP,3,other,services,3,3,0,5,1,4,4,C
F,D,0,yes,16,GP,3,services,other,5,3,0,2,4,3,1,D
D,D,0,yes,15,GP,3,health,services,4,1,0,3,4,2,2,D
B,B,0,yes,15,GP,2,other,other,3,4,6,3,4,3,1,B
D,C,0,yes,16,GP,2,other,other,5,3,2,1,4,3,1,D
F,D,0,yes,15,GP,3,other,other,3,3,0,1,3,4,2,D
D,C,0,yes,15,GP,4,other,other,5,3,2,4,3,1,1,D
C,C,0,yes,16,GP,2,other,other,5,3,0,2,5,3,1,B
D,D,0,yes,16,GP,3,other,services,5,3,4,4,4,3,3,D
D,D,0,yes,15,GP,3,teacher,other,5,3,0,3,4,4,3,D
D,C,0,yes,15,GP,3,teacher,other,1,4,0,1,3,4,0,D
C,C,0,yes,16,GP,3,other,other,3,2,1,3,5,2,2,C
F,F,3,no,17,GP,1,other,other,3,5,0,1,4,2,1,D
D,C,0,yes,16,GP,3,at_home,other,3,4,14,2,2,3,4,D
D,D,0,yes,15,GP,2,other,services,3,2,0,3,3,2,3,C
F,D,0,yes,15,GP,2,other,other,5,3,2,2,5,2,3,F
D,C,0,yes,15,GP,4,services,other,5,4,4,1,4,3,2,D
C,C,0,yes,15,GP,3,services,services,4,3,2,3,5,2,2,C
C,C,0,yes,15,GP,2,other,other,4,3,2,3,4,1,1,C
D,C,0,yes,15,GP,4,services,services,5,4,4,3,4,4,4,C
D,C,0,yes,16,GP,4,at_home,other,2,3,6,2,4,2,2,D
B,B,0,yes,15,GP,3,other,other,1,3,4,3,5,4,2,B
D,C,0,yes,16,GP,2,services,other,3,4,6,1,4,2,2,D
F,F,0,yes,16,GP,3,teacher,health,5,1,6,5,4,4,4,D
D,F,0,yes,16,GP,3,other,other,4,3,2,3,4,3,3,D
C,B,0,yes,15,GP,5,services,other,1,5,6,3,4,4,3,C
C,C,0,yes,16,GP,3,other,other,2,3,0,3,3,3,1,C
B,C,0,yes,16,GP,3,teacher,services,1,3,2,1,5,4,2,B
C,D,0,yes,15,GP,4,services,health,4,3,2,1,4,2,2,C
C,C,0,yes,15,GP,2,at_home,other,1,1,4,1,3,1,1,C
D,F,0,yes,16,GP,3,services,other,4,3,6,1,3,4,3,D
C,C,0,yes,16,GP,5,other,other,5,3,0,1,4,2,1,C
C,C,0,yes,16,GP,4,other,other,1,3,4,2,5,4,4,C
C,C,0,yes,16,GP,5,other,at_home,3,3,2,1,5,4,3,C
F,F,0,yes,16,GP,5,services,services,4,5,12,5,4,4,4,F
A,A,0,yes,16,GP,3,services,teacher,4,4,0,1,4,4,4,A
C,C,0,yes,15,GP,3,services,other,5,3,2,1,5,4,4,C
D,D,0,yes,15,GP,5,services,other,2,3,16,1,4,3,2,D
A,A,0,yes,15,GP,4,services,other,1,4,0,1,5,3,4,A
D,D,0,yes,15,GP,3,other,health,4,3,10,1,4,3,3,D
D,D,0,yes,15,GP,2,other,other,3,1,4,1,5,2,2,D
B,C,0,yes,16,GP,3,services,other,5,3,4,1,5,3,3,B
D,C,0,yes,15,GP,5,other,other,1,3,8,5,1,4,4,D
B,B,0,yes,16,GP,5,health,health,4,4,2,1,5,4,4,B
B,C,0,yes,15,GP,3,teacher,teacher,4,5,4,1,5,4,4,B
D,D,0,yes,16,GP,2,services,other,2,1,4,1,4,3,3,D
D,F,1,yes,16,GP,2,at_home,other,5,1,12,1,3,2,2,D
A,A,0,yes,15,GP,2,teacher,other,3,5,10,1,3,4,2,A
F,D,0,yes,15,GP,2,health,services,5,4,4,1,5,2,1,D
B,A,0,yes,16,GP,4,teacher,teacher,5,4,6,2,5,4,4,B
B,A,0,yes,15,GP,3,other,teacher,2,4,4,1,4,4,4,A
B,B,0,yes,16,GP,2,other,services,5,4,6,1,5,3,3,B
D,C,1,yes,17,GP,4,other,other,5,2,14,4,5,1,3,D
C,B,0,yes,15,GP,3,other,other,4,4,2,2,3,3,4,B
B,B,0,yes,15,GP,3,at_home,services,1,2,0,2,3,1,2,B
C,B,0,yes,15,GP,4,services,services,5,5,6,2,5,2,2,C
C,B,0,yes,16,GP,2,other,health,5,2,2,2,4,2,4,C
C,C,0,yes,16,GP,4,health,other,5,4,4,4,3,4,4,C
D,C,0,yes,16,GP,4,other,other,5,4,0,1,5,2,2,D
F,F,0,yes,15,GP,5,services,services,5,5,2,2,5,3,4,F
D,D,0,yes,15,GP,2,other,other,1,3,0,1,5,3,4,D
D,F,2,no,19,GP,2,at_home,other,5,4,0,1,3,0,1,D
B,B,0,yes,16,GP,5,teacher,teacher,4,5,8,5,3,4,4,B
C,C,0,yes,16,GP,3,other,other,1,2,4,2,3,2,3,C
D,D,0,yes,15,GP,2,services,teacher,5,2,0,2,4,3,4,C
F,D,3,no,18,GP,5,services,other,5,4,10,3,5,2,1,F
D,D,0,yes,17,GP,2,other,other,5,2,8,2,3,2,1,D
C,D,0,yes,15,GP,3,at_home,other,4,3,6,2,4,1,1,C
C,C,0,yes,17,GP,4,other,other,5,4,2,3,3,2,2,C
C,B,0,yes,16,GP,1,services,other,5,2,12,4,3,3,4,B
F,F,0,yes,16,GP,1,at_home,other,2,2,4,1,3,2,1,D
D,C,1,yes,16,GP,4,other,other,5,3,12,1,5,2,2,D
D,C,0,yes,15,GP,3,at_home,teacher,5,3,2,1,5,3,4,D
B,C,0,yes,15,GP,3,services,at_home,5,3,4,1,4,4,4,B
F,D,0,yes,17,GP,5,at_home,other,5,4,2,4,5,3,4,D
C,B,0,yes,16,GP,3,at_home,other,3,1,0,1,5,1,1,C
D,D,0,yes,18,GP,4,services,services,4,3,2,5,3,3,1,C
D,C,0,yes,18,GP,3,other,services,5,3,10,1,4,3,2,D
D,C,0,yes,16,GP,3,other,services,1,3,8,2,3,1,1,D
F,F,0,yes,16,GP,2,other,other,5,3,4,1,4,3,3,D
D,D,2,yes,16,GP,4,services,other,5,4,0,3,4,1,1,D
B,C,0,yes,15,GP,2,teacher,teacher,5,3,6,1,4,4,4,B
F,F,1,yes,15,GP,5,other,other,1,5,2,1,5,1,1,F
D,F,0,yes,15,GP,2,teacher,services,3,2,6,1,2,4,3,D
F,F,0,yes,15,GP,2,services,services,1,3,24,3,1,3,3,F
C,B,0,yes,16,GP,3,services,services,5,3,0,3,5,4,4,C
D,C,0,yes,16,GP,3,services,services,2,3,4,2,2,2,2,D
C,C,0,yes,15,GP,2,teacher,services,5,2,2,1,4,4,4,C
D,D,0,yes,16,GP,4,at_home,at_home,1,4,4,3,3,1,1,D
F,F,0,yes,17,GP,5,other,other,5,4,22,2,5,2,1,F
C,C,0,yes,15,GP,2,other,services,5,4,0,2,4,1,1,C
D,D,0,no,15,GP,2,at_home,other,5,4,0,1,4,2,1,D
D,D,1,yes,15,GP,2,health,services,3,3,2,1,3,3,2,D
C,C,0,yes,15,GP,2,at_home,other,5,3,6,1,4,1,2,C
D,D,0,yes,15,GP,4,at_home,services,1,3,6,4,2,1,2,D
F,F,0,no,16,GP,2,teacher,teacher,5,3,16,1,3,4,4,F
D,C,0,yes,15,GP,5,services,other,5,5,0,5,4,2,1,D
F,D,2,no,18,GP,5,other,other,4,3,0,5,2,1,1,F
D,F,1,yes,16,GP,4,at_home,other,5,4,6,5,4,2,1,D
C,C,0,yes,15,GP,1,services,services,3,2,2,3,4,3,3,C
F,D,0,no,19,GP,4,services,at_home,4,5,6,1,4,3,2,D
C,C,0,yes,17,GP,1,other,teacher,4,2,0,1,4,4,4,C
F,F,0,yes,15,GP,4,at_home,services,1,4,0,1,4,2,3,F
F,F,3,yes,17,GP,2,other,other,5,2,14,3,2,1,2,D
D,D,3,yes,18,GP,5,at_home,other,4,2,6,5,5,1,1,D
D,C,0,yes,16,GP,2,at_home,other,3,2,4,2,4,2,2,D
D,D,1,yes,16,GP,5,other,services,5,5,0,4,4,3,3,F
F,F,2,yes,16,GP,5,health,services,5,4,0,5,4,1,2,D
F,F,1,no,17,GP,2,at_home,other,5,3,8,2,3,2,1,F
F,F,2,yes,17,GP,4,other,other,3,4,4,4,4,3,2,F
F,F,0,yes,15,GP,4,other,other,5,4,2,4,4,1,2,D
F,F,1,no,16,GP,3,at_home,services,2,3,2,4,5,1,3,F
F,F,0,no,17,GP,5,other,services,5,3,0,5,5,1,1,F
F,F,3,no,17,GP,2,services,services,2,5,10,1,4,3,2,F
D,F,0,no,16,GP,5,other,other,4,3,0,4,4,2,2,D
A,A,0,yes,16,GP,3,health,services,3,2,0,1,4,4,2,A
C,C,0,yes,16,GP,5,other,other,4,1,0,1,5,2,2,C
A,A,0,yes,16,GP,2,health,health,3,4,0,1,4,4,4,A
F,F,1,yes,16,GP,5,other,other,2,4,4,4,3,3,4,D
A,A,0,yes,16,GP,2,other,other,3,3,0,1,4,1,0,A
F,D,0,yes,17,GP,4,teacher,other,5,4,0,3,4,4,4,D
C,B,0,yes,16,GP,5,at_home,services,3,3,0,1,4,1,3,C
B,B,0,yes,16,GP,5,other,other,4,4,0,1,4,3,3,B
D,D,0,yes,17,GP,4,teacher,other,4,4,0,4,4,4,3,D
C,C,0,yes,16,GP,4,services,other,5,4,0,4,3,2,2,B
F,D,0,yes,17,GP,4,other,other,4,3,4,4,4,3,3,D
F,D,0,yes,16,GP,3,teacher,services,3,3,8,4,4,4,2,D
D,D,0,yes,17,GP,3,other,other,2,2,4,1,5,4,3,C
D,D,0,yes,16,GP,3,teacher,other,3,4,4,3,3,4,3,D
C,D,0,yes,16,GP,3,services,other,3,2,0,2,4,3,3,C
A,A,0,yes,17,GP,2,services,services,5,4,0,3,5,2,4,A
C,B,0,yes,17,GP,3,other,other,1,3,32,3,5,3,3,B
B,B,0,yes,16,GP,2,other,other,1,2,8,2,1,3,2,A
C,D,0,yes,17,GP,4,services,services,4,3,6,3,4,3,3,B
F,D,0,yes,16,GP,3,services,services,3,3,0,2,3,1,2,D
B,C,0,yes,16,GP,3,other,other,5,2,0,2,4,2,1,A
C,C,0,yes,17,GP,3,health,other,3,3,10,3,3,3,3,B
F,F,0,yes,17,GP,3,at_home,other,3,1,6,5,3,1,2,D
C,C,0,yes,16,GP,3,services,services,2,3,6,1,4,2,3,C
D,C,0,yes,17,GP,3,at_home,services,3,3,0,1,5,1,1,C
D,D,0,yes,17,GP,4,at_home,services,5,4,16,5,4,1,2,C
D,D,0,yes,16,GP,2,services,services,5,3,0,4,4,3,3,D
C,C,0,yes,16,GP,3,other,other,3,3,0,1,5,2,3,C
B,B,0,yes,17,GP,2,services,services,5,3,8,1,4,2,4,A
C,C,0,yes,17,GP,3,services,teacher,5,2,4,2,5,4,4,B
D,D,0,yes,16,GP,4,teacher,other,3,3,16,5,3,3,3,C
B,B,1,yes,17,GP,4,services,teacher,2,2,30,3,4,4,4,A
D,D,0,yes,16,GP,2,teacher,teacher,3,5,0,2,4,4,4,D
B,B,0,yes,16,GP,5,health,other,2,3,2,5,4,4,3,B
C,D,0,yes,16,GP,3,other,other,4,4,4,3,4,2,3,C
B,B,0,yes,17,GP,4,other,other,1,4,0,3,4,1,1,B
C,C,0,yes,17,GP,2,other,other,3,3,21,2,5,2,2,C
C,C,0,yes,16,GP,5,services,services,5,3,6,1,5,2,2,C
F,F,1,yes,17,GP,3,at_home,services,5,4,14,4,4,3,4,F
D,D,0,yes,16,GP,3,services,other,4,3,2,2,2,3,1,C
B,B,0,yes,16,GP,2,teacher,other,1,3,4,1,1,4,3,B
C,C,0,yes,16,GP,2,at_home,other,5,3,2,4,4,1,1,C
C,D,0,yes,17,GP,2,teacher,other,4,4,0,1,4,4,3,C
C,C,0,yes,19,GP,3,other,other,3,3,4,2,4,3,3,C
C,C,0,yes,17,GP,5,services,other,3,3,15,5,5,4,4,C
C,C,0,yes,16,GP,4,other,other,4,3,0,1,3,2,2,C
D,C,0,yes,18,GP,4,services,other,5,4,10,4,4,2,2,D
D,C,0,yes,17,GP,1,services,other,3,2,6,2,5,4,4,D
A,B,0,yes,17,GP,4,other,other,1,4,2,3,4,3,2,B
F,D,0,yes,17,GP,5,other,other,1,4,16,4,3,4,3,D
D,D,0,yes,18,GP,4,services,health,4,2,10,4,3,3,3,D
C,C,0,yes,17,GP,3,at_home,other,3,3,4,4,3,2,3,C
C,C,0,yes,17,GP,3,at_home,at_home,4,3,0,1,4,2,2,C
D,D,0,yes,17,GP,5,at_home,services,5,2,0,2,4,2,1,D
C,C,0,yes,17,GP,4,at_home,other,5,3,12,1,4,1,1,C
C,C,0,yes,16,GP,1,services,teacher,3,3,0,1,2,2,3,B
F,D,3,yes,18,GP,3,other,other,4,3,9,5,3,2,2,D
A,B,0,yes,16,GP,2,teacher,services,5,3,4,1,5,4,4,A
F,F,0,yes,18,GP,3,other,other,4,3,4,1,5,3,1,F
A,A,0,yes,17,GP,4,other,other,3,3,2,3,5,3,2,A
D,D,0,yes,17,GP,3,services,services,3,3,0,3,5,2,3,D
D,F,0,yes,18,GP,2,at_home,other,3,3,2,5,4,2,1,D
B,B,0,yes,17,GP,3,other,other,3,2,0,2,3,2,1,A
C,B,0,yes,17,GP,3,health,other,3,2,0,2,3,4,3,C
C,C,0,yes,17,GP,2,other,other,1,5,0,1,4,2,2,C
C,C,0,yes,17,GP,5,teacher,teacher,2,5,0,3,4,4,4,C
C,C,0,yes,16,GP,4,health,other,1,2,0,4,4,4,4,B
F,F,0,yes,16,GP,2,other,other,5,4,2,1,3,1,1,F
C,C,0,yes,16,GP,3,at_home,other,2,3,0,3,5,3,2,C
A,A,0,yes,17,GP,2,other,other,4,4,0,5,4,2,2,A
D,F,0,yes,16,GP,2,other,other,5,5,4,1,4,2,1,D
C,B,0,yes,16,GP,3,other,other,5,3,0,2,5,4,1,C
D,D,1,yes,18,GP,3,services,other,3,3,18,1,4,2,4,D
F,F,1,yes,18,GP,1,at_home,services,5,3,16,1,5,2,2,D
F,F,1,no,18,GP,1,other,other,3,1,14,1,4,3,3,F
F,F,1,no,18,GP,3,other,at_home,1,4,26,2,4,2,2,F
F,D,0,yes,17,GP,1,teacher,teacher,5,2,6,2,4,4,4,F
B,B,0,yes,17,GP,2,other,other,3,4,4,1,5,3,2,B
D,D,0,yes,17,GP,2,at_home,at_home,4,3,10,2,4,1,1,D
D,C,0,no,16,GP,5,other,other,5,3,4,2,5,1,2,D
C,C,0,yes,17,GP,1,at_home,services,3,1,2,1,2,2,1,C
F,F,1,yes,17,GP,4,other,other,5,5,14,1,5,1,4,F
F,F,0,no,18,GP,4,other,services,2,5,16,5,5,2,2,F
F,D,1,no,17,GP,2,other,other,1,1,8,1,3,2,2,D
B,B,0,yes,17,GP,3,at_home,other,5,3,4,3,4,1,1,B
B,B,0,yes,17,GP,2,teacher,other,4,3,4,1,4,4,2,B
B,B,0,yes,17,GP,5,health,other,5,5,8,4,2,4,3,B
C,C,0,yes,17,GP,3,teacher,other,4,3,0,3,3,4,4,C
B,B,0,yes,16,GP,5,teacher,other,3,4,7,1,5,4,3,B
B,B,0,yes,16,GP,2,services,services,5,3,4,2,5,4,4,B
D,D,0,yes,17,GP,1,teacher,services,5,3,2,4,5,4,4,C
B,C,0,yes,17,GP,3,other,other,1,3,2,1,4,1,1,B
D,D,0,yes,17,GP,2,services,other,5,2,10,3,4,3,3,D
F,D,0,yes,17,GP,2,at_home,other,4,3,10,1,4,1,1,D
D,C,0,yes,18,GP,4,other,other,3,4,10,1,4,2,1,D
A,B,0,yes,16,GP,3,other,other,4,3,7,1,4,2,1,A
D,D,0,yes,17,GP,4,other,services,5,3,4,2,4,1,1,D
C,F,0,yes,17,GP,2,other,other,2,2,2,1,5,2,3,C
F,F,3,no,22,GP,5,services,services,1,4,12,5,5,3,1,F
F,D,0,yes,18,GP,3,other,services,5,3,8,3,4,3,3,D
C,D,0,yes,16,GP,2,other,other,5,3,0,4,4,0,2,D
F,F,0,no,18,GP,5,services,other,5,4,8,4,4,3,2,F
D,F,1,yes,16,GP,3,at_home,other,2,3,4,3,5,3,3,D
F,F,2,no,18,GP,5,services,services,5,2,4,5,3,2,1,F
C,B,0,yes,16,GP,2,other,other,3,3,2,3,3,2,1,C
C,C,0,yes,17,GP,2,other,other,5,4,0,4,4,2,1,C
D,F,1,yes,17,GP,4,health,other,5,4,0,2,4,1,1,D
C,C,0,yes,18,GP,4,other,other,5,3,2,3,4,2,1,C
B,B,0,yes,17,GP,3,teacher,services,4,2,2,1,4,4,2,A
D,D,0,yes,19,GP,3,services,services,5,3,0,1,4,2,2,D
D,D,1,no,18,GP,5,services,other,5,4,4,4,4,2,1,D
C,D,0,yes,17,GP,4,other,other,5,3,2,3,4,4,2,B
C,D,0,yes,18,GP,3,other,at_home,3,4,4,3,4,1,1,B
D,D,0,yes,18,GP,3,other,other,5,2,4,1,3,2,2,C
C,D,0,yes,19,GP,1,services,at_home,1,3,4,1,4,4,3,B
A,A,0,yes,18,GP,4,other,other,4,2,2,2,5,2,1,A
D,F,0,no,17,GP,2,other,services,4,2,0,1,5,2,2,D
D,D,0,yes,17,GP,1,services,services,2,4,2,1,3,2,2,C
C,D,0,no,20,GP,3,other,other,2,2,8,2,1,2,1,C
B,B,0,yes,18,GP,2,services,other,2,1,2,3,3,4,3,B
D,D,0,yes,18,GP,2,teacher,other,3,3,2,1,4,4,3,D
D,D,0,yes,18,GP,2,other,other,3,3,2,1,5,3,2,C
C,B,0,yes,17,GP,3,other,other,4,2,2,1,3,3,3,C
C,D,0,yes,18,GP,3,at_home,services,3,3,0,1,4,2,2,C
F,F,0,no,17,GP,4,other,other,4,4,8,3,4,2,2,F
A,B,0,yes,18,GP,5,other,other,1,2,6,4,4,3,4,A
D,D,0,yes,17,GP,4,services,other,5,4,0,4,5,3,1,B
D,D,0,yes,18,GP,4,teacher,other,4,3,8,2,4,4,4,C
C,D,0,yes,18,GP,5,health,other,5,4,4,3,5,4,2,B
F,F,0,no,18,GP,5,other,other,3,3,12,2,4,2,1,D
C,D,0,yes,19,GP,5,other,services,5,3,16,3,4,3,3,C
A,A,0,yes,18,GP,5,other,services,2,5,10,3,4,2,3,A
C,C,0,yes,18,GP,3,other,other,3,4,2,1,4,1,1,C
A,A,0,yes,17,GP,2,at_home,at_home,1,5,2,2,3,1,2,A
B,B,0,yes,18,GP,5,other,other,1,2,8,2,4,2,1,B
A,B,0,yes,17,GP,3,at_home,health,1,3,6,1,4,2,4,A
C,C,0,yes,17,GP,4,services,other,5,4,6,3,4,2,2,C
F,C,0,no,18,GP,1,other,services,5,1,15,1,4,3,2,D
C,D,0,yes,18,GP,4,teacher,services,3,2,6,4,3,4,4,C
C,B,1,yes,18,GP,4,health,health,4,4,2,1,2,4,4,C
B,C,0,yes,17,GP,3,other,services,1,2,8,1,4,2,2,B
F,F,1,no,19,GP,3,services,services,3,3,0,3,3,3,2,D
D,D,0,yes,18,GP,3,teacher,services,1,2,0,2,4,4,3,D
D,D,0,no,18,GP,4,at_home,other,4,4,10,4,3,1,2,D
D,D,0,yes,17,GP,4,services,other,5,5,22,4,4,4,1,D
C,C,0,yes,17,GP,4,teacher,services,3,4,18,4,4,3,2,C
A,A,0,yes,18,GP,2,at_home,other,3,2,2,1,5,1,1,A
C,C,0,yes,18,GP,4,other,other,4,4,0,1,5,1,1,C
C,C,0,yes,17,GP,5,other,other,5,4,12,2,5,2,2,B
C,C,0,yes,18,GP,1,other,other,5,3,10,1,4,2,1,B
C,C,0,yes,17,GP,3,other,other,4,3,0,2,4,1,1,C
A,A,0,yes,18,GP,3,at_home,at_home,2,3,0,2,4,2,2,A
C,C,0,yes,17,GP,3,services,teacher,3,3,0,1,4,1,1,B
B,B,0,yes,18,GP,4,services,services,2,2,0,3,4,2,1,B
A,A,0,yes,18,GP,3,teacher,teacher,2,4,0,1,5,4,4,A
A,B,0,yes,18,GP,2,teacher,other,5,3,2,4,4,4,2,A
A,A,0,yes,17,GP,2,health,services,3,2,0,2,4,4,3,A
A,A,0,yes,17,GP,2,services,other,3,1,0,1,3,3,1,A
B,B,0,yes,18,GP,2,services,other,4,4,0,1,5,3,2,B
B,B,0,yes,17,GP,3,health,other,5,4,0,3,4,3,3,B
C,B,0,yes,19,GP,4,health,other,2,3,2,3,2,4,4,C
B,C,0,yes,18,GP,5,other,other,2,4,0,2,4,4,3,B
A,A,0,yes,18,GP,3,other,other,3,3,0,1,4,4,3,A
A,A,0,yes,18,GP,2,teacher,teacher,1,4,0,2,1,4,4,A
B,B,0,yes,18,GP,4,health,other,4,2,0,1,4,4,4,B
C,C,0,yes,17,GP,1,other,teacher,5,1,0,2,4,4,4,C
F,F,0,yes,17,GP,4,services,services,5,3,0,1,5,4,4,F
A,A,0,yes,17,GP,3,other,other,3,3,0,1,4,4,2,A
A,A,0,yes,17,GP,2,health,health,5,2,0,2,5,3,2,A
D,F,1,yes,19,GP,1,at_home,services,5,3,0,1,4,2,1,D
B,B,2,yes,20,GP,3,services,other,5,5,0,1,5,3,2,B
D,D,0,yes,19,GP,3,other,services,5,5,0,2,4,3,3,D
D,D,0,yes,18,GP,4,other,teacher,5,4,2,2,3,1,4,D
C,C,0,yes,18,GP,3,services,other,1,3,2,2,5,2,1,B
C,D,0,yes,17,GP,1,other,other,3,2,2,1,4,2,3,B
A,B,0,yes,17,GP,4,teacher,teacher,5,4,2,1,4,4,4,A
B,B,0,yes,18,GP,4,other,other,5,3,2,1,4,4,3,A
C,C,0,yes,18,GP,4,health,services,1,2,8,4,3,4,3,B
B,B,0,yes,17,GP,4,at_home,services,5,3,2,5,4,3,4,A
C,D,0,yes,18,GP,4,at_home,other,3,1,8,1,4,3,3,B
D,D,0,yes,19,GP,4,health,other,1,4,9,1,5,4,2,D
D,C,0,yes,18,GP,4,teacher,other,5,4,0,3,4,4,4,C
C,D,0,yes,18,GP,4,other,other,1,4,4,1,5,3,4,B
B,B,0,yes,17,GP,4,health,health,5,3,2,2,5,4,4,A
B,B,0,yes,17,GP,2,services,services,5,2,14,2,5,4,3,A
C,C,0,yes,17,GP,3,services,other,5,3,0,1,5,3,3,C
C,D,0,yes,17,GP,3,other,other,2,2,2,2,4,2,1,B
F,F,0,yes,18,GP,5,other,other,5,2,2,4,4,4,4,D
D,D,0,no,19,GP,5,other,other,5,5,12,3,1,1,1,D
F,F,2,yes,19,GP,4,other,other,4,3,2,1,5,1,1,F
D,D,0,yes,18,GP,5,other,other,5,3,2,4,4,2,2,D
C,B,0,yes,17,GP,2,other,other,3,2,4,1,4,2,2,C
D,D,0,yes,17,GP,2,services,services,3,3,0,2,3,2,2,D
A,A,0,yes,17,GP,3,services,services,5,4,0,3,3,3,1,A
B,B,0,yes,17,GP,3,at_home,at_home,2,3,0,3,3,0,2,B
B,B,0,yes,18,GP,5,other,other,2,5,0,2,4,1,1,B
B,C,0,yes,18,GP,3,other,other,3,3,0,2,4,4,4,C
